Instance,LBR,OTM,UB,LB,GAP,GAP_LBR,Time,Num_Nodes
r101.txt,618.33,618.33,618.3299155462685,618.3299155462685,0.0,0.0,0.6265127658843994,1
r102.txt,356.49613,548.107,548.10782,511.44836,6.8%,?,1800,279640
r103.txt,301.71102,455.698,455.69824,389.55377,14.5%,?,1800,217279
r104.txt,286.66155,417.76928,437.05684,352.48325,19.3485%,?,1800,162648
r105.txt,453.25080,531.54,531.5386420627178,531.5386420627178,0.0%,?,4.18,904
r106.txt,318.74199,466.48021,466.48021,410.18869,12.0673%,?,1800,268903
r107.txt,292.53603,425.3,429.02830,429.02830,14.6279%,?,1800,173231 
r108.txt,277.48655,398.29471,398.29471,339.55144,14.7428%,?,1800,164004
